,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
1313,02:00 - 03:00,126.09,-0.02,126.11,126.46,126.08,21328.0,N.A.
1314,03:00 - 04:00,126.54,0.45,126.09,126.67,126.01,27968.0,N.A.
1315,04:00 - 05:00,127.34,0.8,126.54,127.64,126.52,31659.0,N.A.
1316,05:00 - 06:00,126.74,-0.6,127.35,127.4,126.71,28927.0,N.A.
1317,06:00 - 07:00,126.64,-0.1,126.74,126.93,126.38,29521.0,N.A.
1318,07:00 - 08:00,126.45,-0.19,126.64,126.76,126.21,26300.0,N.A.
1319,08:00 - 09:00,126.85,0.4,126.45,127.25,126.34,27059.0,N.A.
1320,09:00 - 10:00,127.02,0.17,126.85,127.15,126.82,26490.0,N.A.
1321,10:00 - 11:00,126.93,-0.09,127.02,127.27,126.64,26275.0,N.A.
1322,11:00 - 12:00,126.37,-0.56,126.93,126.96,125.98,30324.0,N.A.
1323,12:00 - 13:00,126.5,0.13,126.37,126.55,126.17,24463.0,N.A.
1324,13:00 - 14:00,126.47,-0.03,126.5,126.65,126.3,22073.0,N.A.
1325,14:00 - 15:00,126.44,-0.03,126.47,126.6,126.28,21585.0,N.A.
1326,15:00 - 16:00,126.59,0.15,126.44,126.7,126.41,18615.0,N.A.
1327,16:00 - 17:00,126.65,0.06,126.59,126.75,126.59,10562.0,N.A.
1329,14:00 - 15:00,126.58,-0.07,126.63,126.79,126.27,456.0,N.A.
1330,15:00 - 16:00,126.65,0.07,126.58,126.65,126.54,408.0,N.A.
1331,16:00 - 17:00,126.4,-0.25,126.65,126.71,126.28,1168.0,N.A.
1332,17:00 - 18:00,126.43,0.03,126.4,126.52,126.36,2571.0,N.A.
1333,18:00 - 19:00,126.02,-0.41,126.43,126.46,125.54,12265.0,N.A.
1334,19:00 - 20:00,126.38,0.36,126.02,126.41,126.02,11851.0,N.A.
