Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
17:00 - 18:00,1.5173,0.0031,1.5142,1.5186,1.5142,47623,N.A.
18:00 - 19:00,1.5158,-0.0015,1.5173,1.5174,1.5158,44331,N.A.
19:00 - 20:00,1.5155,-0.0003,1.5158,1.5161,1.5151,49078,N.A.
20:00 - 21:00,1.5159,0.0004,1.5155,1.5163,1.515,44027,N.A.
21:00 - 22:00,1.5161,0.0002,1.5159,1.5169,1.5154,41336,N.A.
22:00 - 23:00,1.5164,0.0003,1.5161,1.5167,1.5157,38713,N.A.
23:00 - 00:00,1.5169,0.0005,1.5164,1.517,1.5161,40202,N.A.
15DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5169,0,1.5169,1.5172,1.5164,43260,N.A.
01:00 - 02:00,1.517,0.0001,1.5169,1.517,1.516,42134,N.A.
02:00 - 03:00,1.515,-0.002,1.517,1.5176,1.5141,91926,N.A.
03:00 - 04:00,1.5137,-0.0013,1.515,1.5157,1.5137,104128,N.A.
04:00 - 05:00,1.5159,0.0022,1.5137,1.5168,1.5137,112370,N.A.
05:00 - 06:00,1.5137,-0.0022,1.5159,1.5169,1.5132,97866,N.A.
06:00 - 07:00,1.5156,0.0019,1.5137,1.5167,1.5136,82230,N.A.
07:00 - 08:00,1.5153,-0.0003,1.5156,1.516,1.5142,79293,N.A.
08:00 - 09:00,1.5165,0.0012,1.5153,1.5165,1.515,129064,N.A.
09:00 - 10:00,1.5141,-0.0024,1.5165,1.5184,1.5138,105294,N.A.
10:00 - 11:00,1.5049,-0.0092,1.5141,1.5141,1.5034,129913,N.A.
11:00 - 12:00,1.5043,-0.0006,1.5049,1.5063,1.5042,122884,N.A.
12:00 - 13:00,1.5055,0.0012,1.5044,1.5067,1.5044,78064,N.A.
13:00 - 14:00,1.5047,-0.0008,1.5055,1.5067,1.5047,61604,N.A.
14:00 - 15:00,1.5043,-0.0004,1.5047,1.5053,1.5041,50566,N.A.
15:00 - 16:00,1.5036,-0.0007,1.5043,1.5045,1.503,55476,N.A.
16:00 - 17:00,1.5039,0.0003,1.5036,1.5044,1.503,50166,N.A.
17:00 - 18:00,1.5038,-0.0001,1.5039,1.504,1.5033,44396,N.A.
18:00 - 19:00,1.5044,0.0006,1.5038,1.5045,1.5036,39074,N.A.
19:00 - 20:00,1.5043,-0.0001,1.5044,1.5048,1.5035,43027,N.A.
20:00 - 21:00,1.5045,0.0002,1.5043,1.505,1.5041,46007,N.A.
21:00 - 22:00,1.5053,0.0008,1.5045,1.5054,1.5044,42734,N.A.
22:00 - 23:00,1.5054,0.0001,1.5053,1.5058,1.5053,31877,N.A.
23:00 - 00:00,1.5047,-0.0007,1.5054,1.5054,1.5046,41104,N.A.
16DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.505,0.0003,1.5047,1.5052,1.5045,37078,N.A.
01:00 - 02:00,1.5049,-0.0001,1.505,1.5051,1.5045,35630,N.A.
02:00 - 03:00,1.5052,0.0003,1.5049,1.5056,1.504,69628,N.A.
03:00 - 04:00,1.5019,-0.0033,1.5052,1.5052,1.5012,83563,N.A.
04:00 - 05:00,1.5021,0.0002,1.5019,1.503,1.499,115598,N.A.
05:00 - 06:00,1.5022,0.0001,1.5021,1.5029,1.4991,78674,N.A.
06:00 - 07:00,1.5026,0.0004,1.5022,1.5037,1.5008,71725,N.A.
07:00 - 08:00,1.5,-0.0026,1.5026,1.5027,1.4997,85172,N.A.
08:00 - 09:00,1.5024,0.0024,1.5,1.5033,1.4997,97605,N.A.
09:00 - 10:00,1.5023,-0.0001,1.5024,1.505,1.5023,113567,N.A.
10:00 - 11:00,1.5006,-0.0017,1.5023,1.5025,1.4998,102007,N.A.
11:00 - 12:00,1.5012,0.0006,1.5006,1.5018,1.5002,76063,N.A.
12:00 - 13:00,1.501,-0.0002,1.5012,1.5016,1.5004,64491,N.A.
13:00 - 14:00,1.5023,0.0013,1.501,1.5039,1.5008,98292,N.A.
14:00 - 15:00,1.5061,0.0038,1.5024,1.5099,1.4961,308379,N.A.
15:00 - 16:00,1.5006,-0.0055,1.5061,1.5064,1.4983,121296,N.A.
16:00 - 17:00,1.5004,-0.0002,1.5006,1.5007,1.4987,66757,N.A.
17:00 - 18:00,1.4981,-0.0023,1.5004,1.5004,1.4981,40011,N.A.
18:00 - 19:00,1.4975,-0.0006,1.4981,1.4985,1.4974,54229,N.A.
19:00 - 20:00,1.4979,0.0004,1.4975,1.4987,1.4974,54060,N.A.
20:00 - 21:00,1.496,-0.0019,1.4979,1.498,1.4959,50104,N.A.
21:00 - 22:00,1.4953,-0.0007,1.496,1.4964,1.4951,67145,N.A.
22:00 - 23:00,1.4942,-0.0011,1.4953,1.4954,1.4923,59435,N.A.
23:00 - 00:00,1.4957,0.0015,1.4942,1.4957,1.4941,46640,N.A.
17DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.4952,-0.0005,1.4957,1.4957,1.495,51747,N.A.
01:00 - 02:00,1.4963,0.0011,1.4952,1.4963,1.4947,52110,N.A.
02:00 - 03:00,1.4941,-0.0022,1.4963,1.4976,1.4939,84056,N.A.
03:00 - 04:00,1.4941,0,1.4941,1.4955,1.492,84789,N.A.
04:00 - 05:00,1.4958,0.0017,1.4941,1.5007,1.4939,102152,N.A.
05:00 - 06:00,1.4928,-0.003,1.4958,1.4963,1.4925,101156,N.A.
06:00 - 07:00,1.4916,-0.0012,1.4928,1.4935,1.4915,62606,N.A.
07:00 - 08:00,1.4929,0.0013,1.4916,1.4935,1.4912,63583,N.A.
08:00 - 09:00,1.4923,-0.0006,1.4929,1.493,1.4908,105470,N.A.
