Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
23:00 - 00:00,117.11,-0.55,117.66,117.68,117.05,19756,N.A.
20JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,117.38,0.27,117.11,117.52,117.01,19776,N.A.
01:00 - 02:00,117.76,0.38,117.38,117.82,117.36,18866,N.A.
02:00 - 03:00,117.07,-0.69,117.76,117.76,116.93,29695,N.A.
03:00 - 04:00,117.77,0.7,117.07,117.91,117.03,31318,N.A.
04:00 - 05:00,117.55,-0.22,117.77,118.07,117.52,28528,N.A.
05:00 - 06:00,117.18,-0.37,117.55,117.73,117.03,25562,N.A.
06:00 - 07:00,117.12,-0.06,117.18,117.26,116.97,25734,N.A.
07:00 - 08:00,116.95,-0.17,117.12,117.4,116.73,25494,N.A.
08:00 - 09:00,116.98,0.03,116.95,117.12,116.65,29704,N.A.
09:00 - 10:00,116.41,-0.57,116.98,117.01,116.34,32494,N.A.
10:00 - 11:00,116.4,-0.01,116.41,116.62,116.16,31397,N.A.
11:00 - 12:00,116.78,0.38,116.4,116.85,116.39,25691,N.A.
12:00 - 13:00,116.58,-0.2,116.78,116.84,116.13,23015,N.A.
13:00 - 14:00,115.9,-0.68,116.58,116.67,115.9,22043,N.A.
14:00 - 15:00,115.81,-0.09,115.9,116.06,115.55,22642,N.A.
15:00 - 16:00,115.63,-0.18,115.81,115.93,115.53,18689,N.A.
16:00 - 17:00,115.85,0.22,115.63,115.89,115.53,13218,N.A.
17:00 - 18:00,115.38,-0.47,115.85,115.85,115.3,10033,N.A.
18:00 - 19:00,115.72,0.34,115.38,115.77,115.32,13304,N.A.
19:00 - 20:00,115.81,0.09,115.72,116.06,115.34,19939,N.A.
20:00 - 21:00,116.23,0.42,115.81,116.27,115.8,16157,N.A.
21:00 - 22:00,116.76,0.53,116.23,116.92,116.17,19480,N.A.
22:00 - 23:00,116.79,0.03,116.76,117.2,116.64,17060,N.A.
23:00 - 00:00,116.58,-0.21,116.79,116.88,116.51,16912,N.A.
21JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,116.82,0.24,116.58,116.93,116.52,16204,N.A.
01:00 - 02:00,115.96,-0.86,116.82,116.82,115.93,20383,N.A.
02:00 - 03:00,116.02,0.06,115.96,116.29,115.92,25530,N.A.
03:00 - 04:00,116.2,0.18,116.02,116.22,115.37,29472,N.A.
04:00 - 05:00,116.31,0.11,116.2,116.43,115.96,26819,N.A.
05:00 - 06:00,116.16,-0.15,116.31,116.32,116.07,23100,N.A.
06:00 - 07:00,116.15,-0.01,116.16,116.28,115.89,23516,N.A.
07:00 - 08:00,116.13,-0.02,116.15,116.32,116.03,22499,N.A.
08:00 - 09:00,116.2,0.07,116.13,116.34,115.96,24745,N.A.
