Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
16:00 - 17:00,116.17,-0.14,116.31,116.46,116.16,77441,N.A.
17:00 - 18:00,116.19,0.02,116.17,116.27,115.9,74059,N.A.
18:00 - 19:00,116.14,-0.05,116.19,116.41,116.03,99475,N.A.
19:00 - 20:00,116.35,0.21,116.14,116.41,116.04,124735,N.A.
20:00 - 21:00,116.17,-0.18,116.35,116.58,116.16,105361,N.A.
21:00 - 22:00,115.98,-0.19,116.17,116.24,115.86,98428,N.A.
22:00 - 23:00,116.24,0.26,115.98,116.29,115.98,77878,N.A.
23:00 - 00:00,116.42,0.18,116.24,116.48,116.16,75598,N.A.
16JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,116.45,0.03,116.42,116.47,116.26,70433,N.A.
01:00 - 02:00,116.52,0.07,116.45,116.84,116.44,99463,N.A.
02:00 - 03:00,116.54,0.02,116.52,116.75,116.44,92395,N.A.
03:00 - 04:00,116.55,0.01,116.54,116.73,116.43,96601,N.A.
04:00 - 05:00,116.42,-0.13,116.55,116.56,116.32,88649,N.A.
05:00 - 06:00,116.57,0.15,116.42,116.65,116.37,97814,N.A.
06:00 - 07:00,116.74,0.17,116.57,116.75,116.56,82071,N.A.
07:00 - 08:00,116.57,-0.17,116.74,116.78,116.4,73976,N.A.
08:00 - 09:00,116.69,0.12,116.57,116.85,116.34,154885,N.A.
09:00 - 10:00,117.12,0.43,116.69,117.15,116.64,129004,N.A.
10:00 - 11:00,117.65,0.53,117.12,117.76,117.1,163499,N.A.
11:00 - 12:00,117.46,-0.19,117.65,117.77,117.4,141700,N.A.
12:00 - 13:00,117.55,0.09,117.46,117.65,117.38,97136,N.A.
13:00 - 14:00,117.57,0.02,117.55,117.61,117.36,84869,N.A.
14:00 - 15:00,117.46,-0.11,117.57,117.58,117.45,64517,N.A.
15:00 - 16:00,117.62,0.16,117.46,117.66,117.45,66846,N.A.
16:00 - 17:00,117.51,-0.11,117.62,117.69,117.39,63206,N.A.
18JAN2015_00:00:00.000,,,,,,,
13:00 - 14:00,117.5,-0.01,117.65,117.66,117.47,6024,N.A.
14:00 - 15:00,117.41,-0.09,117.5,117.58,117.37,5868,N.A.
15:00 - 16:00,117.41,0,117.41,117.46,117.36,5230,N.A.
16:00 - 17:00,117.47,0.06,117.41,117.54,117.38,10027,N.A.
17:00 - 18:00,117.43,-0.04,117.47,117.52,117.37,31539,N.A.
18:00 - 19:00,117.6,0.17,117.43,117.62,117.39,44782,N.A.
19:00 - 20:00,117.46,-0.14,117.6,117.67,117.39,73690,N.A.
20:00 - 21:00,117.16,-0.3,117.46,117.48,116.96,76230,N.A.
21:00 - 22:00,117.18,0.02,117.16,117.3,117.1,52977,N.A.
22:00 - 23:00,117.12,-0.06,117.18,117.18,116.93,64211,N.A.
23:00 - 00:00,117.09,-0.03,117.12,117.19,116.95,59215,N.A.
19JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,117.1,0.01,117.09,117.24,117.04,52160,N.A.
01:00 - 02:00,117.12,0.02,117.1,117.23,117.05,56084,N.A.
02:00 - 03:00,117.17,0.05,117.12,117.22,117.02,58037,N.A.
03:00 - 04:00,117.21,0.04,117.17,117.39,117.07,85167,N.A.
04:00 - 05:00,117.23,0.02,117.21,117.31,117.15,71881,N.A.
05:00 - 06:00,117.28,0.05,117.23,117.33,117.17,61954,N.A.
06:00 - 07:00,117.41,0.13,117.28,117.44,117.26,65031,N.A.
07:00 - 08:00,117.36,-0.05,117.41,117.44,117.35,55357,N.A.
08:00 - 09:00,117.46,0.1,117.36,117.47,117.28,63217,N.A.
09:00 - 10:00,117.5,0.04,117.46,117.56,117.38,67646,N.A.
10:00 - 11:00,117.54,0.04,117.5,117.59,117.45,61588,N.A.
11:00 - 12:00,117.51,-0.03,117.54,117.58,117.46,45575,N.A.
12:00 - 13:00,117.52,0.01,117.51,117.54,117.42,42981,N.A.
13:00 - 14:00,117.54,0.02,117.52,117.55,117.49,42179,N.A.
14:00 - 15:00,117.76,0.22,117.54,117.78,117.54,48363,N.A.
15:00 - 16:00,117.58,-0.18,117.76,117.77,117.52,50533,N.A.
16:00 - 17:00,117.56,-0.02,117.58,117.67,117.5,63543,N.A.
17:00 - 18:00,117.66,0.1,117.56,117.69,117.56,34582,N.A.
18:00 - 19:00,117.74,0.08,117.66,117.83,117.65,61446,N.A.
19:00 - 20:00,117.93,0.19,117.74,117.93,117.7,71624,N.A.
20:00 - 21:00,118.11,0.18,117.93,118.24,117.88,84726,N.A.
21:00 - 22:00,118.25,0.14,118.11,118.31,118.05,80979,N.A.
22:00 - 23:00,118.21,-0.04,118.25,118.26,118.09,56864,N.A.
23:00 - 00:00,118.25,0.04,118.21,118.28,118.12,47649,N.A.
20JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.3,0.05,118.25,118.34,118.23,51258,N.A.
01:00 - 02:00,118.43,0.13,118.3,118.53,118.3,60569,N.A.
02:00 - 03:00,118.25,-0.18,118.43,118.5,118.14,80746,N.A.
03:00 - 04:00,118.08,-0.17,118.25,118.37,117.98,83208,N.A.
04:00 - 05:00,118.28,0.2,118.08,118.32,118.05,83835,N.A.
05:00 - 06:00,118.38,0.1,118.28,118.49,118.26,69876,N.A.
06:00 - 07:00,118.68,0.3,118.38,118.74,118.38,83267,N.A.
07:00 - 08:00,118.68,0,118.68,118.77,118.61,72989,N.A.
